Date,Open,High,Low,Close
2000-01-03 00:00:00-05:00,4.074999809265137,4.478125095367432,3.9523439407348633,4.46875
2000-01-04 00:00:00-05:00,4.268750190734863,4.574999809265137,4.087500095367432,4.096875190734863
2000-01-05 00:00:00-05:00,3.525000095367432,3.756249904632568,3.400000095367432,3.487499952316284
2000-01-06 00:00:00-05:00,3.565624952316284,3.634375095367432,3.200000047683716,3.278125047683716
2000-01-07 00:00:00-05:00,3.3499999046325684,3.525000095367432,3.309375047683716,3.478125095367432
2000-01-10 00:00:00-05:00,3.628124952316284,3.631249904632568,3.278125047683716,3.4593749046325684
2000-01-11 00:00:00-05:00,3.34375,3.5,3.25,3.337500095367432
2000-01-12 00:00:00-05:00,3.393749952316284,3.400000095367432,3.150000095367432,3.1781249046325684
2000-01-13 00:00:00-05:00,3.246875047683716,3.359375,3.15625,3.296875
2000-01-14 00:00:00-05:00,3.337500095367432,3.431250095367432,3.200000047683716,3.212500095367432
2000-01-18 00:00:00-05:00,3.171875,3.259375095367432,3.150000095367432,3.206249952316284
2000-01-19 00:00:00-05:00,3.206249952316284,3.375,3.150000095367432,3.340625047683716
2000-01-20 00:00:00-05:00,3.346874952316284,3.3499999046325684,3.196875095367432,3.237499952316284
2000-01-21 00:00:00-05:00,3.231250047683716,3.231250047683716,3.0,3.103125095367432
2000-01-24 00:00:00-05:00,3.378124952316284,3.668750047683716,3.375,3.5062499046325684
2000-01-25 00:00:00-05:00,3.5,3.5625,3.299999952316284,3.462500095367432
2000-01-26 00:00:00-05:00,3.431250095367432,3.5,3.237499952316284,3.2406249046325684
2000-01-27 00:00:00-05:00,3.259375095367432,3.387500047683716,3.231250047683716,3.346874952316284
2000-01-28 00:00:00-05:00,3.25,3.321875095367432,3.0,3.0843749046325684
2000-01-31 00:00:00-05:00,3.018749952316284,3.237499952316284,2.921875,3.228125095367432
2000-02-01 00:00:00-05:00,3.375,3.53125,3.21875,3.371875047683716
2000-02-02 00:00:00-05:00,3.3968749046325684,3.612499952316284,3.387500047683716,3.471874952316284
2000-02-03 00:00:00-05:00,4.056250095367432,4.296875,3.868750095367432,4.209374904632568
2000-02-04 00:00:00-05:00,4.137499809265137,4.137499809265137,3.893749952316284,3.928124904632568
2000-02-07 00:00:00-05:00,3.809375047683716,3.84375,3.65625,3.75
2000-02-08 00:00:00-05:00,3.700000047683716,4.199999809265137,3.671875,4.15625
2000-02-09 00:00:00-05:00,4.027344226837158,4.186718940734863,4.000781059265137,4.012499809265137
2000-02-10 00:00:00-05:00,3.924999952316284,3.993750095367432,3.775000095367432,3.809375047683716
